word,part_of_speech,meaning,example,example_meaning,definition,ID
specialty,noun,ngành chuyên môn,"I appreciate your interest, agent, but... profiling is a specialty .","Anh đánh giá cao sự nhiệt tình của em, đặc vụ, nhưng... phân tích hành vi là ngành chuyên môn .",(North America) That in which one specializes; a chosen expertise or talent.,10704
universal,adjective,phổ biến,"The universal answer was "" No, I want a better job than that for my children. ""","Câu trả lời phổ biến là "" Không, tôi muốn một công việc tốt hơn cho con em tôi. """,Of or pertaining to the universe.,10705
hurdle,verb,rào,This is a very bad system because what happens is your hurdle rate gets set very low.,Đây là hệ thống tồi vì cái xảy ra là tốc độ hàng rào được dựng rất chậm.,"An artificial barrier, variously constructed, over which men or horses jump in a race.",10706
drift,verb,trôi giạt,He drifted .,Ông đã trôi giạt .,The act or motion of drifting; the force which impels or drives; an overpowering influence or impulse.,10707
karma,noun,nghiệp,"In addition to a common language and shared traditional religious beliefs around a creator god and veneration of the ancestors, the traditional Malagasy worldview is shaped by values that emphasize fihavanana (solidarity), vintana (destiny), tody ( karma ), and hasina, a sacred life force that traditional communities believe imbues and thereby legitimates authority figures within the community or family.","Ngoài việc có một ngôn ngữ chung và chia sẻ các đức tin tôn giáo truyền thống xung quanh một thần tạo vật và tôn kính tổ tiên, thế giới quan Malagasy truyền thống còn được định hình bằng các giá trị nhấn mạnh fihavanana (đoàn kết), vintana (vận mệnh), tody ( nghiệp ), và Hasina, một lực lượng sinh mệnh thần thánh mà các cộng đồng truyền thống hết sức tin tưởng và do đó hợp pháp hóa các cá nhân có uy quyền trong cộng đồng và gia đình.","(Hinduism, Buddhism) The concept of ""action"" or ""deed"" in Indian and Nepalese religions understood as that which causes the entire cycle of cause and effect (i.e., the cycle called samsara) described in the dharmic traditions, namely: Hindu, Jain, Sikh and Buddhist philosophies. The total effect of a person's actions and conduct during the successive phases of his existence, regarded as determining his next incarnation.",10708
maniac,noun,người điên,I think this is no maniac .,Tôi nghĩ đây không phải là một người điên .,"An insane person, especially one who suffers from a mania.",10709
utensil,noun,dụng cụ,"Sharp utensils , hot metal, keep your arms in.","Những dụng cụ sắc nhọn, kim loại nóng, giữ lấy tay của anh.","An instrument or device for domestic use, in the kitchen, or in war.",10710
particularly,adverb,chi tiết,I don't believe it was a particularly long conversation.,Mình ko nhớ được chi tiết .,(focus) especially;,10711
ridge,verb,chóp,"It has several ridges and valleys and a number of impact craters of about 20 km (12 mi) diameter are visible, but it is less cratered than nearby Pandora, Epimetheus, and Janus.","Nó có rất nhiều chóp nhọn và vùng trũng và có thể thấy nhiều hố va chạm có đường kính vào khoảng 20 km (12 mi), nhưng nó bị va chạm ít hơn so với các vệ tinh gần đó là Pandora, Epimetheus và Janus.",The line along which two sloping surfaces meet which diverge towards the ground.,10712
sapling,noun,cây nhỏ,"This refers to the northern end of what is now Lake Simcoe, where the Huron had planted tree saplings to corral fish.","Điều này ám chỉ đến phần cực bắc của nơi mà hiện là hồ Simcoe, nơi người Huron trồng cây nhỏ để quây cá.","A young tree, but bigger than a seedling.",10713
acknowledgment,noun,sự công nhận,"I also have no regrets, nor do I need anyone's acknowledgement .",Tôi cũng không hề hối tiếc... và không cân sự công nhận của ai.,The act of acknowledging; admission; avowal; owning; confession.,10714
astonishing,adjective,lạ lùng,""" The Philosopher's Stone is a legendary substance with astonishing powers.",Hòn đá Phù thủy là một loại vật chất huyền thoại với sức mạnh lạ lùng .,Causing astonishment in; causing to be astonished.,10715
beholder,noun,khán giả,One of the main obstacles is the highly subjective nature of technical analysis – the presence of geometric shapes in historical price charts is often in the eyes of the beholder .,Một trong những trở ngại chính là bản chất rất chủ quan của phân tích kỹ thuật – sự hiện diện của các hình dạng hình học trong các biểu đồ giá lịch sử thường là trong mắt của khán giả .,a one eyed monster,10716
mourning,noun,tang,"When Arafat's death was announced, the Palestinian people went into a state of mourning , with Qur'anic mourning prayers emitted from mosque loudspeakers throughout the West Bank and the Gaza Strip, and tires burned in the streets.","Khi cái chết của Arafat được thông báo, người dân Palestien rơi vào tình trạng tang tóc, với những lời cầu nguyện kinh Qur'an phát ra từ những loa phóng thanh của các thánh đường Hồi giáo và những lốp xe bị đốt trên phố.",Present participle of mourn.,10717
executioner,noun,đao phủ,Notify the executioner .,Thông báo cho đao phủ .,An official person who carries out the capital punishment of a criminal.,10718
suave,adjective,ngọt ngào,"Sunglasses help you look more suave and attractive, therefore increasing the quality of your sleep.","Kính râm giúp bạn trông ngọt ngào và hấp dẫn, do đó tăng chất lượng của giấc ngủ của bạn.","Charming, confident and elegant.",10719
prominence,noun,lồi,"On May 10, Grant ordered attacks across the Confederate line of earthworks, which by now extended over 4 miles (6.5 km), including a prominent salient known as the Mule Shoe.","Đến ngày 10 tháng 5, Grant lại ra lệnh tấn công tuyến công sự dài hơn 6,5 km của miền Nam, trong đó có một khúc lồi gọi là ""Móng La"" (Mule Shoe).",The state of being prominent: widely known or eminent,10720
overzealous,adjective,quá hăng hái,"A few of my brethren became a bit overzealous , that's all.","Một vài đồng minh của tôi đã trở nên quá hăng hái , chỉ thế thôi.","Too zealous; too enthusiastic, determined; too fervent.",10721
vitriolic,adjective,sunfuric,My alchemists continually tinker with their recipe for oil of vitriol .,Nhà giả kim thuật của tôi liên tục chọc ngoáy với công thức của họ bằng axit sunfuric .,"of, derived from, or similar to a vitriol",10722
expedience,noun,expedient,They saw this as a more expedient way to get results.,Họ xem đây là cách hữu hiệu và nhanh đạt kết quả hơn.,(uncountable) The quality of being fit or suitable to effect some desired end or the purpose intended; propriety or advisability under the particular circumstances of a case.,10723
umber,adjective,nâu đen,"Yellow ocher, viridian, raw umber , burnt umber , indigo.","Vàng đất, màu lục, nâu đen , nâu sáng, màu chàm.","A brown or reddish pigment used in painting, obtained from certain natural clays variously colored by the oxides of iron and manganese.",10724
falafel,noun,chả đậu gà,Have some falafel ?,Ăn ít viên falafel ?,(uncountable) A Middle Eastern food in the form of balls made from chickpeas and other ingredients. Often served in a pita.,10725
adagio,adjective,khoan thai,"The album closes with the ""heartbreak adagio "" ""Someone like You,"" a soft piano ballad that pairs Adele's vocals with a looping piano melody.","Album khép lại với ""nhịp khoan thai trong nỗi khổ đau"" mang tên ""Someone Like You"", bản ballad piano kết hợp giữa giọng ca của Adele và tiếng piano ngân đều.","(music) A tempo mark directing that a passage is to be played rather slowly, leisurely and gracefully",10726
raise,verb,nâng,"We can’t understand exactly how you feel, but Jehovah does and will keep raising you up.","Chúng tôi không hiểu rõ cảm xúc của bạn, nhưng Đức Giê-hô-va hiểu và sẽ luôn nâng đỡ bạn.",To cause to rise.,10727
release,verb,giải phóng,I released its forces much as my father had released you long ago.,Tôi đã giải phóng lực lượng như cha tôi đã từng giải phóng ông ngày xưa.,(software) The distribution of an initial or new and upgraded version of a computer software product; the distribution can be both public or private.,10728
